ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,"2016",0,"Total",55313,9073,"Census Tract 123.30, Thurston County, WA","14000US53067012330"
2016,"2016",0,"Total",56594,6180,"Census Tract 115, Thurston County, WA","14000US53067011500"
2016,"2016",0,"Total",75467,6208,"Census Tract 111, Thurston County, WA","14000US53067011100"
2016,"2016",0,"Total",68417,9522,"Census Tract 110, Thurston County, WA","14000US53067011000"
2016,"2016",0,"Total",69562,8756,"Census Tract 116.10, Thurston County, WA","14000US53067011610"
2016,"2016",0,"Total",56792,10556,"Census Tract 125.10, Thurston County, WA","14000US53067012510"
2016,"2016",0,"Total",54594,4813,"Census Tract 123.20, Thurston County, WA","14000US53067012320"
2016,"2016",0,"Total",56961,10985,"Census Tract 116.21, Thurston County, WA","14000US53067011621"
2016,"2016",0,"Total",50099,5599,"Census Tract 109.20, Thurston County, WA","14000US53067010920"
2016,"2016",0,"Total",55377,5477,"Census Tract 125.20, Thurston County, WA","14000US53067012520"
2016,"2016",0,"Total",78581,6807,"Census Tract 123.10, Thurston County, WA","14000US53067012310"
2016,"2016",0,"Total",67372,9067,"Census Tract 116.22, Thurston County, WA","14000US53067011622"
2016,"2016",0,"Total",64044,8657,"Census Tract 109.10, Thurston County, WA","14000US53067010910"
2016,"2016",0,"Total",54710,7896,"Census Tract 108, Thurston County, WA","14000US53067010800"
2016,"2016",0,"Total",59712,8172,"Census Tract 116.23, Thurston County, WA","14000US53067011623"
2016,"2016",0,"Total",67315,7009.999999999999,"Census Tract 125.30, Thurston County, WA","14000US53067012530"
2016,"2016",0,"Total",45083,9599,"Census Tract 113, Thurston County, WA","14000US53067011300"
2016,"2016",0,"Total",66250,7026,"Census Tract 116.24, Thurston County, WA","14000US53067011624"
2016,"2016",0,"Total",81192,5104,"Census Tract 107, Thurston County, WA","14000US53067010700"
2016,"2016",0,"Total",73983,12477,"Census Tract 126.10, Thurston County, WA","14000US53067012610"
2016,"2016",0,"Total",90433,10805,"Census Tract 122.21, Thurston County, WA","14000US53067012221"
