ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",116107,13575.999999999998,"Census Tract 521.15, Snohomish County, WA","14000US53061052115"
2017,"2017",0,"Total",82857,7960,"Census Tract 409, Snohomish County, WA","14000US53061040900"
2017,"2017",0,"Total",48424,7590.999999999999,"Census Tract 537, Snohomish County, WA","14000US53061053700"
2017,"2017",0,"Total",113517,18617,"Census Tract 520.03, Snohomish County, WA","14000US53061052003"
2017,"2017",0,"Total",111938,15648,"Census Tract 521.18, Snohomish County, WA","14000US53061052118"
2017,"2017",0,"Total",57055,12004,"Census Tract 410, Snohomish County, WA","14000US53061041000"
2017,"2017",0,"Total",68935,19708,"Census Tract 536.04, Snohomish County, WA","14000US53061053604"
2017,"2017",0,"Total",62988,15214,"Census Tract 519.28, Snohomish County, WA","14000US53061051928"
2017,"2017",0,"Total",57138,7864.999999999999,"Census Tract 411, Snohomish County, WA","14000US53061041100"
2017,"2017",0,"Total",101219,13290,"Census Tract 519.27, Snohomish County, WA","14000US53061051927"
2017,"2017",0,"Total",103040,4999,"Census Tract 522.03, Snohomish County, WA","14000US53061052203"
2017,"2017",0,"Total",71662,6063,"Census Tract 412.01, Snohomish County, WA","14000US53061041201"
2017,"2017",0,"Total",93026,15166.000000000002,"Census Tract 536.03, Snohomish County, WA","14000US53061053603"
2017,"2017",0,"Total",123878,10759,"Census Tract 519.26, Snohomish County, WA","14000US53061051926"
2017,"2017",0,"Total",105000,8070,"Census Tract 522.04, Snohomish County, WA","14000US53061052204"
2017,"2017",0,"Total",54231,11122,"Census Tract 412.02, Snohomish County, WA","14000US53061041202"
2017,"2017",0,"Total",78149,10419,"Census Tract 536.02, Snohomish County, WA","14000US53061053602"
2017,"2017",0,"Total",135859,16997,"Census Tract 519.25, Snohomish County, WA","14000US53061051925"
2017,"2017",0,"Total",103295,16528,"Census Tract 413.01, Snohomish County, WA","14000US53061041301"
2017,"2017",0,"Total",84536,10665,"Census Tract 519.24, Snohomish County, WA","14000US53061051924"
2017,"2017",0,"Total",110054,15477,"Census Tract 522.06, Snohomish County, WA","14000US53061052206"
2017,"2017",0,"Total",82115,11865,"Census Tract 413.03, Snohomish County, WA","14000US53061041303"
2017,"2017",0,"Total",59243,6062,"Census Tract 535.09, Snohomish County, WA","14000US53061053509"
2017,"2017",0,"Total",92165,9997,"Census Tract 519.23, Snohomish County, WA","14000US53061051923"
2017,"2017",0,"Total",95852,14258.000000000002,"Census Tract 522.07, Snohomish County, WA","14000US53061052207"
2017,"2017",0,"Total",123778,17443,"Census Tract 413.04, Snohomish County, WA","14000US53061041304"
2017,"2017",0,"Total",78375,14730,"Census Tract 535.08, Snohomish County, WA","14000US53061053508"
2017,"2017",0,"Total",99948,14667.000000000002,"Census Tract 519.22, Snohomish County, WA","14000US53061051922"
2017,"2017",0,"Total",58993,12713,"Census Tract 414, Snohomish County, WA","14000US53061041400"
2017,"2017",0,"Total",52287,6283,"Census Tract 522.08, Snohomish County, WA","14000US53061052208"
2017,"2017",0,"Total",69974,7006,"Census Tract 519.21, Snohomish County, WA","14000US53061051921"
2017,"2017",0,"Total",75956,12144,"Census Tract 415, Snohomish County, WA","14000US53061041500"
2017,"2017",0,"Total",97500,9881,"Census Tract 535.07, Snohomish County, WA","14000US53061053507"
2017,"2017",0,"Total",95500,11474,"Census Tract 519.18, Snohomish County, WA","14000US53061051918"
2017,"2017",0,"Total",50556,9106,"Census Tract 522.09, Snohomish County, WA","14000US53061052209"
2017,"2017",0,"Total",88257,9419,"Census Tract 416.01, Snohomish County, WA","14000US53061041601"
2017,"2017",0,"Total",89476,11361,"Census Tract 535.06, Snohomish County, WA","14000US53061053506"
2017,"2017",0,"Total",102773,8006,"Census Tract 519.17, Snohomish County, WA","14000US53061051917"
2017,"2017",0,"Total",88833,10124,"Census Tract 416.05, Snohomish County, WA","14000US53061041605"
2017,"2017",0,"Total",106837,11307,"Census Tract 523.01, Snohomish County, WA","14000US53061052301"
2017,"2017",0,"Total",97500,18435,"Census Tract 519.16, Snohomish County, WA","14000US53061051916"
2017,"2017",0,"Total",91471,13687,"Census Tract 416.06, Snohomish County, WA","14000US53061041606"
2017,"2017",0,"Total",95737,13650.999999999998,"Census Tract 535.05, Snohomish County, WA","14000US53061053505"
2017,"2017",0,"Total",110205,15086.000000000002,"Census Tract 519.15, Snohomish County, WA","14000US53061051915"
2017,"2017",0,"Total",92554,8148.999999999999,"Census Tract 523.02, Snohomish County, WA","14000US53061052302"
2017,"2017",0,"Total",117500,13937,"Census Tract 416.07, Snohomish County, WA","14000US53061041607"
2017,"2017",0,"Total",59516,13191,"Census Tract 535.04, Snohomish County, WA","14000US53061053504"
2017,"2017",0,"Total",108679,17426,"Census Tract 519.14, Snohomish County, WA","14000US53061051914"
2017,"2017",0,"Total",106042,8434,"Census Tract 416.08, Snohomish County, WA","14000US53061041608"
2017,"2017",0,"Total",63299,8317,"Census Tract 524.01, Snohomish County, WA","14000US53061052401"
2017,"2017",0,"Total",102123,13779,"Census Tract 519.13, Snohomish County, WA","14000US53061051913"
2017,"2017",0,"Total",57820,15898.000000000002,"Census Tract 417.01, Snohomish County, WA","14000US53061041701"
2017,"2017",0,"Total",92858,13094,"Census Tract 534, Snohomish County, WA","14000US53061053400"
2017,"2017",0,"Total",107222,11494,"Census Tract 519.12, Snohomish County, WA","14000US53061051912"
